#,DistributionID,distID,00distID,address,lat,lon,day,proposed_day,proposed_region,site_type,required_flexible,comments,,,,,
73,59,59 SYS,0059 SYS,La Cuenta Drive & Tierrasanta Blvd,32.748825,-117.183794,Tue,Tue,central 2,,,,,,,,
74,264,264 SYS,0264 SYS,10460 Viacha Drive,32.81022583,-117.0968538,Tue,Tue,central 2,,,,,,,,
75,50A,50A SYS,050A SYS,2693 Melbourne Drive ,32.79425555,-117.1249723,Tue,Tue,central 2,,required,,,,,,
77,208A,208A SYS,0208A SYS,Across from 6236 Wenrich,32.789282,-117.068302,Tue,Tue,central 1,,,,,,,,
78,110,110 SYS,0110 SYS,8711 Lake Ashmere Drive,32.799095,-117.010836,Tue,Tue,central 1,impound,,,,,,,
79,243,243 SYS,0243 SYS,8709 Lake Athabaska Way,32.79900458,-117.0102274,Tue,Tue,central 1,,required,,,,,,
80,155,155 SYS,0155 SYS,Adams Avenue & Marlborough Avenue,32.76324144,-117.1063045,Tue,Tue,south,,required,,,,,,
81,140,140 SYS,0140 SYS,Imperial Avenue & 45th Street,32.70414847,-117.0979741,Tue,Tue,south,,required,,,,,,
83,284,284 SYS,0284 SYS,Ocean View Hills Parkway & Sea Drift Way,32.57711428,-117.0227615,Tue,Tue,south,,required,,,,,,
84,128,128 SYS,0128 SYS,Palm Ave. & Firethorn Street,32.5837054,-117.040334,Tue,Tue,south,,,,,,,,
85,201,201 SYS,0201 SYS,1880 Smythe Avenue,32.56245372,-117.0493167,Tue,Tue,south,,required,,,,,,
86,131,131 SYS,0131 SYS,E. Park Ave & San Ysidro Blvd,32.55226621,-117.0440961,Tue,Tue,south,,required,,,,,,
87,305,305 SYS,0305 SYS,4948 Carbine Way,32.56464425,-117.0328986,Tue,Tue,south,,,,,,,,
88,205,205 SYS,0205 SYS,1856 Manzana Way,32.68751715,-117.0233547,Tue,Tue,south,,required,,,,,,
89,173,173 SYS,0173 SYS,5922 Rancho Hills Drive,32.67237202,-117.0613139,Tue,Tue,south,,required,,,,,,
90,259,259 SYS,0259 SYS,3945 Alameda Drive,32.74900114,-117.1838263,Tue,Tue,central 2,,required,,,,,,
92,138A,138A SYS,0138A SYS,4202 N. Harbor Drive,32.72886046,-117.2103685,Tue,Tue,central 2,,required,,,,,,
93,43,43 SYS,0043 SYS,300 Rosecrans Street,32.70833204,-117.2388945,Tue,Tue,central 2,,,,,,,,
