,FAC_NAME,site_match,FAC_SEQ_NUM,FAC_TYP_CD,FACTYPDESC,INFRASTRUC,PRESSR_ZN_NM,PRESSR_ZN_QTY,SIZE_NUM,SMPL_TYP_CD,FEED_SRC_NM,MAPNG_STAT_CD,FNCTNL_CD,OWNERSHIP_CD,OWNERSHIP_CD_DESC,STRT_ADDR_TYP_CD,DIV_MAINT_BY_CD,DIV_DESC,INTERCEPTOR_IND,STA_PRIM_NUM,STA_SCNDRY_NUM,ACTL_INST_DT_IND,INST_DT,LOCN_DESC_TXT,OLD_SPLASH1_DWO_ID,OLD_SPLASH1_WORK_ORDR_ID,GPS_SURVEYOR_IND,GPS_X_COORD_NUM,GPS_Y_COORD_NUM,FAC_STAT_CD,MAP_ID,FLD_BK_PAGE_NUM,FLD_BK_GRID_NUM,THOMAS_BROTHERS_CD,STRT_NUM,STRT_PREDIR_CD,STRT_NM,STRT_SFX_CD,STRT_UNIT_NUM,STRT_GATED_COMNTY_IND,NAD83E_NUM,NAD83N_NUM,NAD27E_NUM,NAD27N_NUM,OLD_FAC_SEQ_NUM,SENSITIVE_LAND_IND,GEOMETRY_ORIENTATION,DRAWG_NUM,DRAWG_SHEET_NUM,DRAWG_TYP_CD,DRAWG_TYP_CD_DESC,IAMFLOC,SAPOBJNR
176,287 SYS,NA,5503984,SLOC,SAMPLE LOCATION,W,RIDGEGATE LA JOLLA,575,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,RIDGEGATE ROW & ABBOTSWOODS,1,NA,N,0,0,A,463,C11S,4,1248A1,10940,,SCRIPPS RANCH,BL,,NA,6258196.28,1883448.986,1696811.851,243004.9862,NA,N,-58.91,NA,NA,,NA,UW-WS-TRN-SLOC-S263,IF?0100000000000141344
177,274 SYS,NA,5503980,SLOC,SAMPLE LOCATION,W,RIDGEGATE REDUCED,425,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,HILLPOINTE ROW & CARRIAGE DALE ROW,1,NA,N,0,0,A,462,C11S,5,1248A1,10940,,SCRIPPS RANCH,BL,,NA,6259244.747,1883785.194,1697860.324,243341.1936,NA,N,-141.31,NA,NA,,NA,UW-WS-TRN-SLOC-S259,IF?0100000000000141074
179,303 SYS,NA,5504049,SLOC,SAMPLE LOCATION,W,RIVIERA SHORES,440,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,F,WO,WATER OPERATIONS,N,0,0,N,,1334 RIVIERA SHORES ST.,1,NA,N,0,0,A,518,M35S,2,1350G1,1334,,RIVIERA SHORES,ST,,NA,6319119.229,1789242.526,1757735.105,148798.5262,NA,Y,-96.06,NA,NA,,NA,UW-WS-TRN-SLOC-S274,IF?0100000000000141177
186,152 SYS,NA,544231,SLOC,SAMPLE LOCATION,W,SAN CARLOS,849,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,BISBY LAKE AV/HUDSON DR; PUBLIC SCHOOL/SAMPLE STANCHION,NA,NA,N,0,0,A,586,N14S,3,1250J4,0,,,,,NA,6326661.499,1874035,1765277.413,233591,NA,N,-57.29,NA,NA,,NA,UW-WS-TRN-SLOC-S130,IF?0100000000000143355
187,C110,NA,5207113,SLOC,SAMPLE LOCATION,W,SAN CARLOS,849,0.5,DR,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,LAKE ASHMERE DR & LAKE ARROWHEAD DR NORTHWEST OF DISTRIBUTION RESERVOIR,NA,NA,N,0,0,A,633,N14S,6,1250J5,0,,,,,NA,6327904.285,1871302.201,1766520.204,230858.2014,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S176,IF?0100000000000142202
188,111 SYS_MID,NA,5207492,SLOC,SAMPLE LOCATION,W,SAN CARLOS,849,0,DR,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,7950 WING SPAN DR.,NA,NA,N,0,0,A,368,N13S,4,1250G4,0,,,,,NA,6322727.503,1874790.541,1761343.397,234346.5413,NA,Y,0,NA,NA,,NA,UW-WS-TRN-SLOC-S184,IF?0100000000000141797
190,C112,NA,5207114,SLOC,SAMPLE LOCATION,W,SAN CARLOS ESTATES,930,0.5,DR,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,ROCKHURST DR & ROCKHURST CT WEST OF DISTRIBUTION RESERVOIR,NA,NA,N,0,0,A,535,L15S,5,1250D7,0,,,,,NA,6312762.989,1866963.445,1751378.833,226519.4449,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S177,IF?0100000000000141844
195,291SYS,NA,5504050,SLOC,SAMPLE LOCATION,W,SCRIPPS MESA VISTA,892,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,A,WO,WATER OPERATIONS,N,0,0,N,,10815 SCRIPPS RANCH BL; NOB HILL CONDOS; N OF POOL,1,NA,N,0,0,A,851,I04S,3,1209F3,10815,,SCRIPPS RANCH,BL,,NA,6297742.884,1914164.738,1736358.653,273720.7375,NA,N,-71.63,NA,NA,,NA,UW-WS-TRN-SLOC-S275,IF?0100000000000141170
197,N183,NA,5205424,SLOC,SAMPLE LOCATION,W,SCRIPPS RANCH,1020,0.5,,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,,NA,NA,N,0,0,A,486,L03S,2,1210C1,11401,,CYPRESS WOODS,DR,,NA,6312518.412,1917931.89,1751134.255,277487.8898,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S161,IF?0100000000000141789
199,318 SYS,NA,5525500,SLOC,SAMPLE LOCATION,W,SCRIPPS RANCH,1020,0,DP,NA,OPERATIONAL,Y,SD,CITY OF SAN DIEGO,,,,N,0,0,N,,11807 TRAIL CREST DR,1,NA,N,0,0,A,1056,J02S,4,1209G1,0,,,,,NA,6299507.224,1919995.082,1738123.002,279551.082,NA,Y,-19.07,NA,NA,,NA,UW-WS-TRN-SLOC-S292,IF?0100000000000140781
