,distID,site_match,address,lat,lon,day,proposed_day,proposed_region,site_type,required_flexible,comments
3,253 SYS,TRUE,13220 Caminito Mar Villa,32.94006144,-117.2567102,Monthly,,,,,changed from Thursday
4,324 SYS,TRUE,4393 Redworks Driveway,32.703797,-117.101841,Monthly,Thu,south,,,changed from Thursday
5,303A SYS,TRUE,1469 Riviera Shores Street,32.571857,-117.037894,Monthly,Thu,south,,,changed from Thursday
6,336 SYS,TRUE,17696 Montero Road,33.02543983,-117.0524632,Monthly,,,stanchion,,changed from Tuesday
7,339 SYS,TRUE,11911 Carmel Creek Road,32.93559751,-117.2279458,Monthly,,,stanchion,,changed from Tuesday
8,335 SYS,TRUE,14800 Stonebridge Parkway,32.92461755,-117.0245306,Mon,,,impound,,changed from Wednesday
11,213 SYS,TRUE,4455 Murphy Canyon Rd; Sample Stanchion,NA,NA,Monthly,,,stanchion,,Changed to Monthly
12,16 SYS,TRUE,200 Catalina Blvd,32.70777731,-117.2494152,Deprecated,Mon,central 1,impound,,"delete, deprecated to 16A SYS"
14,282 SYS,TRUE,18169 W. Bernardo Drive,33.04827313,-117.0736847,Deprecated,,,stanchion,,"Delete, Deprecated to 282A"
15,15 SYS,TRUE,1061 Catalina Blvd,32.72560097,-117.2446867,Deprecated,Mon,central 1,impound,required,"delete, deprecated to15A SYS"
16,22 SYS,TRUE,11225 Spring Canyon Road REPEAT OF LINE 2,32.92516607,-117.0877235,Duplicate,,,impound,,"delete, duplicate"
17,293 SYS,TRUE,4927 Oceanview Hills Parkway,32.58232165,-117.0257523,Deprecated,,,,,"delete, no longer sampled"
18,211A SYS,TRUE,7228 Wembley St,NA,NA,Monthly,,,,,From 2011 sampling plan; need lat/lon
19,239 SYS,TRUE,1761 Petra Dr,NA,NA,Monthly,,,,,From 2011 sampling plan; need lat/lon
20,240 SYS,TRUE,3387 Kearny Villa Lane,NA,NA,Monthly,,,,,From 2011 sampling plan; need lat/lon
22,246 SYS,TRUE,7928 Wing Span Dr,NA,NA,Monthly,,,,,From 2011 sampling plan; need lat/lon
23,247A SYS,TRUE,9125 Rehco Rd; Sample Stanchion,NA,NA,Monthly,,,,,From 2011 sampling plan; need lat/lon
24,249A SYS,TRUE,6429 Glidden St; Sample Stanchion,NA,NA,Monthly,,,,,From 2011 sampling plan; need lat/lon
25,255 SYS,TRUE,4949 Pacifica Dr; Sample Box,NA,NA,Monthly,,,,,From 2011 sampling plan; need lat/lon
26,258 SYS,TRUE,8455 Westway Dr,NA,NA,Monthly,,,,,From 2011 sampling plan; need lat/lon
27,268 SYS,TRUE,9604 Babauta Rd,32.937967,-117.120859,Monthly,,,,,From 2011 sampling plan; need lat/lon
28,176 SYS,TRUE,9896 Olson Dr,NA,NA,Monthly,,,,,From 2011 sampling plan; need lat/lon
29,64 SYS,TRUE,11168 Avenida Del Gato & Zapata,32.924245,-117.148113,Deprecated,,North,stanchion,,"New weekly site? From 2011 sampling plan, addede it to Monday for now"
30,136 SYS,TRUE,333 W. Harbor Dr. ,32.70867872,-117.1661376,Tue,Tue,central 2,stanchion,,Not in 2011 sampling plan
32,340 SYS,TRUE,13880 Crest Way,32.95006321,-117.2556045,Tue,,,stanchion,,"Not in 2011 sampling plan, remove?"
33,96 SYS,TRUE,1500 Wueste Road,32.60697,-116.93268,Wed,Wed,south,plant,,"typo, changed from 98 SYS"
34,96 SYS,TRUE,1500 Wueste Road,32.60697,-116.93268,Thu,Thu,south,plant,,"typo, changed from 99 SYS"
35,316 SYS,TRUE,13705 Shoal Summit Drive,32.96578,-117.07626,Mon,,North,stanchion,,
36,22 SYS,TRUE,11225 Spring Canyon Rd,32.92177,-117.06693,Mon,,North,impound,required,
37,13 SYS,TRUE,13564 Calavados Place @ Shoal Summit,32.96567,-117.07793,Mon,,North,impound,required,
38,233 SYS,TRUE,12110 World Trade Dr,32.98315,-117.07369,Mon,,North,stanchion,,
39,236 SYS,TRUE,15022 Avenida Venusto,32.99167,-117.06782,Mon,,North,stanchion,,
40,313 SYS,TRUE,11602 Calle Paracho,33.00098,-117.07918,Mon,,North,stanchion,required,
41,20 SYS,TRUE,16000 Avenida Venusto,33.00439,-117.07428,Mon,,North,impound,required,
42,235 SYS,TRUE,15855 Turtleback Rd.,33.00532,-117.08775,Mon,,North,stanchion,,
43,21 SYS,TRUE,16061 Big Springs Way,33.00752,-117.084,Mon,,North,impound,required,
44,327 SYS,TRUE,15625 New Park Terrace,33.01916,-117.14542,Mon,,North,,,
45,19 SYS,TRUE,14800 Penasquitos Blvd @ End of Avenida Maria,32.98576,-117.0931,Mon,,North,impound,required,
46,234A SYS,TRUE,14300 Cuca Street,32.97401,-117.09588,Mon,,North,,,
49,333 SYS,TRUE,1329 Gertrude Street,32.77259,-117.20175,Mon,Mon,central 1,,,
50,53 SYS,TRUE,2433 Denver Street,32.7875,-117.20369,Mon,Mon,central 1,stanchion,,
51,57 SYS,TRUE,Idlewild Way & Hidalgo Ave,32.83208,-117.22075,Mon,Mon,central 1,,,
52,52 SYS,TRUE,Mt. Abernathy Av & Chateau Drive,32.82236,-117.17515,Mon,Mon,central 1,stanchion,,
53,275 SYS,TRUE,2531 Old Quarry Road,32.78661,-117.12888,Mon,Mon,central 2,recycled,,
54,174 SYS,TRUE,3250 Camino Del Rio North,32.77696,-117.12551,Mon,Mon,central 2,stanchion,required,
55,209 SYS,TRUE,4605 Vandever Avenue,32.78762,-117.0956,Mon,Mon,central 2,,,
56,153 SYS,TRUE,5552 Gala Avenue,32.79987,-117.06992,Mon,Mon,central 2,,,
57,262 SYS,TRUE,6669 Linda Lane,32.78459,-117.05287,Mon,Mon,central 2,,,
58,112 SYS,TRUE,5832 Rockhurst Court,32.78679,-117.06043,Mon,Mon,central 2,impound,required,
60,210 SYS,TRUE,6619 Cibola Road (In front of Park),32.80677,-117.05438,Mon,Mon,central 2,,,
61,281 SYS,TRUE,6831 Monte Verde Drive,32.81231,-117.04814,Mon,Mon,central 2,,required,
62,212 SYS,TRUE,Rondel Ct & Tuxedo Road at Public Park,32.80907,-117.046,Mon,Mon,central 2,,,
63,242 SYS,TRUE,7260 Barker Way,32.81324,-117.01777,Mon,Mon,central 2,,required,
64,152A SYS,TRUE,8571 Highwood Drive,32.80863,-117.01377,Mon,Mon,central 2,,,
67,5 SYS,TRUE,10710 Scripps Lake Drive,32.912,-117.09903,Mon,Mon,central 1,plant,required,
68,238 SYS,TRUE,11496 Weatherhill Way,32.92741,-117.10033,Mon,,,impound,required,
69,81 SYS,TRUE,5540 Kiowa Drive,32.78025,-117.04656,Mon,Mon,south,plant,required,
70,82 SYS,TRUE,5540 Kiowa Drive,32.78053,-117.04553,Mon,Mon,south,plant,required,
71,85 SYS,TRUE,5540 Kiowa Drive,32.78053,-117.04553,Mon,Mon,south,plant,required,
72,87 SYS,TRUE,5540 Kiowa Drive,32.78053,-117.04553,Mon,Mon,south,plant,required,
74,90 SYS,TRUE,5540 Kiowa Drive,32.78016,-117.04094,Mon,Mon,south,plant,required,
76,92 SYS,TRUE,1500 Wueste Road,32.60697,-116.93268,Mon,Mon,south,plant,required,
77,95 SYS,TRUE,1500 Wueste Road,32.60697,-116.93268,Mon,Mon,south,plant,required,
78,96 SYS,TRUE,1500 Wueste Road,32.60697,-116.93268,Mon,Mon,south,plant,required,
79,99 SYS,TRUE,1500 Wueste Road,32.60697,-116.93268,Mon,Mon,south,plant,required,
80,223 SYS,TRUE,8441 New Salem Street,32.91573965,-117.1419274,Tue,Tue,central 1,stanchion,required,
